epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.773,1.39541,1.96096,1.64145,0.28636,0.16921,0.1266,0.03528,2.72445,3.19183,3.95693,0.0675156,0.000328125,0.000328125
2,288.339,1.40509,1.69395,1.6812,0.37816,0.36143,0.27722,0.08377,2.46899,2.55047,3.55991,0.0344844,0.000630275,0.000630275
3,475.929,1.39181,1.64595,1.69955,0.38041,0.39906,0.2976,0.09261,2.20202,2.45431,2.89824,0.00142183,0.000900997,0.000900997
4,601.886,1.43899,1.67876,1.72251,0.42209,0.4173,0.32931,0.11157,2.21569,2.14382,3.04528,0.000858571,0.000858571,0.000858571
5,724.689,1.42718,1.63078,1.693,0.52678,0.46926,0.43737,0.16753,2.09656,2.78209,2.79161,0.000811429,0.000811429,0.000811429
6,846.268,1.38644,1.55167,1.65577,0.4955,0.5025,0.46011,0.16881,2.01052,2.08647,2.62941,0.000764286,0.000764286,0.000764286
7,968.009,1.33721,1.50543,1.61587,0.40257,0.39985,0.3464,0.12581,2.10854,2.09862,2.60602,0.000717143,0.000717143,0.000717143
8,1089.12,1.33749,1.49453,1.62298,0.63027,0.50914,0.52881,0.20828,2.02438,1.90063,2.7122,0.00067,0.00067,0.00067
9,1208.5,1.31805,1.42868,1.60137,0.50683,0.46184,0.42055,0.15312,2.18635,1.97036,2.6992,0.000622857,0.000622857,0.000622857
10,1329.64,1.28686,1.43787,1.59696,0.57571,0.46414,0.4742,0.1859,2.10683,1.95805,2.72273,0.000575714,0.000575714,0.000575714
11,1451.15,1.30062,1.42147,1.6101,0.58517,0.51039,0.52911,0.21536,1.94656,1.83634,2.45649,0.000528571,0.000528571,0.000528571
12,1593.56,1.27977,1.40178,1.71086,0.63026,0.53328,0.55178,0.21547,2.01202,1.75976,2.63121,0.000481429,0.000481429,0.000481429
13,1713.34,1.2764,1.27734,1.69166,0.55949,0.4735,0.48542,0.19476,1.99354,1.84603,2.53615,0.000434286,0.000434286,0.000434286
14,1833.83,1.21173,1.26424,1.64449,0.65411,0.4973,0.54264,0.23639,1.97354,1.79525,2.56848,0.000387143,0.000387143,0.000387143
15,1951.94,1.16918,1.1952,1.60974,0.61697,0.50611,0.51772,0.22721,1.95067,1.80998,2.54672,0.00034,0.00034,0.00034
16,2070.21,1.12382,1.10258,1.57837,0.66261,0.51395,0.56324,0.24876,1.92758,1.73137,2.49931,0.000292857,0.000292857,0.000292857
17,2194.91,1.137,1.07029,1.57379,0.64929,0.52585,0.55596,0.23866,1.94408,1.72515,2.52219,0.000245714,0.000245714,0.000245714
18,2322.12,1.07527,1.06979,1.537,0.65386,0.53066,0.54854,0.23657,1.92304,1.72974,2.51639,0.000198571,0.000198571,0.000198571
19,2444.28,1.04949,1.01964,1.5004,0.66773,0.5276,0.57747,0.25218,1.95728,1.67905,2.52437,0.000151429,0.000151429,0.000151429
20,2566.18,1.02196,1.00025,1.49653,0.66936,0.53888,0.58303,0.25773,1.91328,1.66555,2.48819,0.000104286,0.000104286,0.000104286
21,2688.36,1.01976,0.97753,1.49335,0.6838,0.55386,0.60376,0.26628,1.91202,1.63843,2.4843,5.71429e-05,5.71429e-05,5.71429e-05
