epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.26,1.66437,1.8129,1.64723,0.45222,0.53019,0.4311,0.17965,1.94336,2.08919,2.07208,0.000554368,0.000554368,0.000554368
2,318.75,1.7289,1.77171,1.70996,0.50684,0.52397,0.44905,0.19213,1.80783,1.80319,1.87334,0.00108806,0.00108806,0.00108806
3,473.74,1.70398,1.71097,1.69599,0.50195,0.51414,0.46369,0.20062,1.85331,1.82311,1.93922,0.00159974,0.00159974,0.00159974
4,628.385,1.6637,1.59906,1.66516,0.64488,0.63214,0.64077,0.29697,1.69341,1.56651,1.81633,0.00156798,0.00156798,0.00156798
5,782.005,1.62109,1.50044,1.63205,0.65255,0.66,0.66419,0.3319,1.61827,1.4332,1.73453,0.00153497,0.00153497,0.00153497
6,935.321,1.58089,1.42117,1.60466,0.70914,0.67287,0.7141,0.3437,1.65306,1.32374,1.75761,0.00150197,0.00150197,0.00150197
7,1091.49,1.57153,1.36468,1.59905,0.72295,0.6839,0.72644,0.36548,1.61107,1.25989,1.72689,0.00146896,0.00146896,0.00146896
8,1245.45,1.54318,1.30606,1.57126,0.70717,0.71527,0.74126,0.37927,1.63481,1.17995,1.70738,0.00143595,0.00143595,0.00143595
9,1398.35,1.51054,1.25695,1.54792,0.74943,0.73192,0.74955,0.3889,1.57327,1.12473,1.65238,0.00140295,0.00140295,0.00140295
10,1551.52,1.49154,1.22171,1.54146,0.7249,0.74449,0.75204,0.39093,1.55515,1.12085,1.64324,0.00136994,0.00136994,0.00136994
11,1702.9,1.486,1.17855,1.52437,0.74022,0.74914,0.76456,0.40151,1.54669,1.14025,1.62164,0.00133693,0.00133693,0.00133693
12,1856.34,1.47947,1.14744,1.51931,0.75165,0.75389,0.77371,0.41024,1.52784,1.04941,1.63447,0.00130393,0.00130393,0.00130393
13,2007.54,1.44205,1.10597,1.49556,0.76378,0.76309,0.79303,0.41698,1.54104,1.00805,1.60287,0.00127092,0.00127092,0.00127092
14,2160.76,1.43689,1.07845,1.49331,0.77828,0.77228,0.80358,0.42839,1.53316,0.99417,1.6094,0.00123791,0.00123791,0.00123791
15,2313.81,1.42932,1.05633,1.4858,0.77045,0.74558,0.77721,0.41413,1.54949,1.01562,1.62614,0.00120491,0.00120491,0.00120491
16,2465.14,1.40409,1.03478,1.47025,0.78193,0.76479,0.7927,0.43547,1.50897,0.94942,1.56932,0.0011719,0.0011719,0.0011719
17,2618.44,1.39473,1.01673,1.46478,0.79844,0.77549,0.80515,0.43755,1.47623,0.94742,1.56646,0.00113889,0.00113889,0.00113889
18,2772.26,1.37948,0.99387,1.44493,0.77455,0.78164,0.80169,0.44103,1.48606,0.9477,1.5629,0.00110589,0.00110589,0.00110589
19,2924.94,1.36608,0.97917,1.44389,0.78209,0.77659,0.79923,0.44048,1.46921,0.95073,1.55506,0.00107288,0.00107288,0.00107288
20,3078.06,1.36655,0.96526,1.44422,0.78856,0.76996,0.7989,0.43941,1.48385,0.91025,1.55981,0.00103987,0.00103987,0.00103987
21,3231.06,1.34944,0.93803,1.41924,0.7962,0.78463,0.81131,0.4502,1.44941,0.89513,1.53579,0.00100687,0.00100687,0.00100687
22,3383.72,1.34009,0.9172,1.41116,0.7803,0.78969,0.79783,0.45571,1.43584,0.89303,1.5237,0.000973861,0.000973861,0.000973861
23,3537.18,1.31824,0.89784,1.40182,0.78128,0.78921,0.78127,0.43953,1.43627,0.88812,1.51816,0.000940855,0.000940855,0.000940855
24,3689.78,1.31318,0.88146,1.39546,0.78794,0.78079,0.79896,0.45552,1.42858,0.86963,1.51433,0.000907848,0.000907848,0.000907848
25,3841.78,1.30497,0.86999,1.39565,0.78291,0.78771,0.79474,0.45564,1.43911,0.87632,1.51966,0.000874842,0.000874842,0.000874842
26,3996.72,1.2886,0.85585,1.37945,0.77643,0.79421,0.79033,0.45618,1.43034,0.86352,1.51384,0.000841835,0.000841835,0.000841835
27,4149.12,1.27922,0.82845,1.36087,0.79411,0.78712,0.80175,0.46041,1.44054,0.84871,1.51133,0.000808828,0.000808828,0.000808828
28,4301.78,1.25743,0.8184,1.35865,0.78393,0.78134,0.78309,0.45252,1.43153,0.85984,1.51351,0.000775822,0.000775822,0.000775822
29,4454.62,1.25799,0.80796,1.34563,0.80054,0.78816,0.8003,0.4598,1.44173,0.82267,1.51378,0.000742815,0.000742815,0.000742815
30,4606.32,1.25059,0.8025,1.34429,0.78423,0.81446,0.8026,0.47376,1.39733,0.83879,1.4776,0.000709809,0.000709809,0.000709809
31,4761.44,1.2301,0.77742,1.33599,0.79631,0.80914,0.80736,0.47871,1.37257,0.82699,1.47443,0.000676802,0.000676802,0.000676802
32,4916.22,1.2307,0.78045,1.33466,0.80546,0.78662,0.78885,0.45607,1.4146,0.81888,1.49709,0.000643795,0.000643795,0.000643795
33,5069.55,1.2153,0.7563,1.32292,0.79971,0.80205,0.79766,0.47285,1.37119,0.82042,1.46762,0.000610789,0.000610789,0.000610789
34,5222.07,1.20698,0.75435,1.31863,0.8062,0.80134,0.80055,0.47587,1.3744,0.80725,1.4655,0.000577782,0.000577782,0.000577782
35,5376.93,1.19796,0.74966,1.31889,0.80294,0.81478,0.79824,0.47236,1.39032,0.81146,1.48041,0.000544776,0.000544776,0.000544776
36,5530.49,1.18352,0.73112,1.30839,0.791,0.81513,0.79667,0.47693,1.36341,0.80234,1.47254,0.000511769,0.000511769,0.000511769
37,5684.12,1.17984,0.71276,1.29975,0.80685,0.81357,0.79999,0.48005,1.35399,0.79423,1.46598,0.000478762,0.000478762,0.000478762
38,5838.62,1.16875,0.71085,1.29128,0.81232,0.81959,0.79771,0.48242,1.34572,0.78301,1.4506,0.000445756,0.000445756,0.000445756
39,5993.33,1.15757,0.70119,1.29116,0.81407,0.8111,0.79788,0.48466,1.34056,0.79273,1.45218,0.000412749,0.000412749,0.000412749
40,6146.24,1.15228,0.69247,1.2794,0.80672,0.8175,0.79539,0.48455,1.34585,0.78471,1.45267,0.000379743,0.000379743,0.000379743
41,6300.14,1.11189,0.55105,1.26832,0.8081,0.8197,0.80609,0.49464,1.33471,0.76782,1.43296,0.000346736,0.000346736,0.000346736
42,6450.87,1.08397,0.5264,1.25006,0.80372,0.81574,0.794,0.4908,1.33289,0.77929,1.44634,0.000313729,0.000313729,0.000313729
43,6599.24,1.07578,0.51597,1.23978,0.80677,0.81984,0.79259,0.48947,1.32351,0.76772,1.43899,0.000280723,0.000280723,0.000280723
44,6748.73,1.05561,0.50651,1.22853,0.81291,0.81645,0.79708,0.49535,1.31922,0.76049,1.44182,0.000247716,0.000247716,0.000247716
45,6897.44,1.04085,0.4954,1.2219,0.81051,0.82168,0.7984,0.49507,1.31828,0.75137,1.44592,0.00021471,0.00021471,0.00021471
46,7045.89,1.03287,0.48477,1.21429,0.80385,0.82139,0.79292,0.49631,1.31517,0.75859,1.45175,0.000181703,0.000181703,0.000181703
47,7194.61,1.02249,0.48287,1.20446,0.80516,0.8119,0.7888,0.49425,1.31419,0.7632,1.44899,0.000148696,0.000148696,0.000148696
48,7342.45,1.00766,0.46863,1.19367,0.80595,0.82359,0.79273,0.49746,1.30688,0.74942,1.44718,0.00011569,0.00011569,0.00011569
49,7491.31,1.00356,0.4654,1.18967,0.80551,0.82142,0.79066,0.49883,1.30094,0.75367,1.43971,8.26832e-05,8.26832e-05,8.26832e-05
50,7640.01,0.99176,0.46064,1.18513,0.80324,0.81921,0.78924,0.49931,1.30323,0.75585,1.44387,4.96766e-05,4.96766e-05,4.96766e-05
